booking_id,user_id,show_id,booking_date,total_tickets,payment_status,booking_status,ticket_price,movie_id,theatre_id,seats_booked,show_time,theatre_name
BK_38,US_5,SH_4184,"2024-04-09 8:11:06",4,Completed,Successful,600,MV_8,TH_3,4,15:00:00,"Carnival Cinemas"
BK_39,US_4,SH_6946,"2024-09-02 1:20:09",3,Completed,Successful,800,MV_9,TH_4,3,18:30:00,Cinepolis
BK_40,US_3,SH_2008,"2024-03-24 7:56:03",4,Completed,Successful,500,MV_10,TH_5,4,21:45:00,"Wave Cinemas"
BK_41,US_4,SH_3230,"2024-01-27 6:10:10",1,Completed,Successful,250,MV_1,TH_1,1,09:00:00,"PVR Cinemas"
BK_42,US_5,SH_4725,"2024-03-23 10:34:56",1,Completed,Successful,450,MV_2,TH_2,1,12:30:00,"Carnival Cinemas"
BK_43,US_3,SH_3486,"2025-07-06 11:31:54",4,Completed,Successful,600,MV_3,TH_3,4,15:00:00,Cinepolis
BK_44,US_1,SH_7138,"2024-09-17 0:37:29",3,Completed,Successful,800,MV_4,TH_4,3,18:30:00,"Wave Cinemas"
BK_45,US_5,SH_474,"2024-04-19 20:16:45",2,Completed,Successful,500,MV_5,TH_5,2,21:45:00,INOX
BK_46,US_2,SH_3864,"2024-11-04 3:35:48",3,Completed,Successful,250,MV_6,TH_1,3,09:00:00,"Miraj Cinemas"
BK_47,US_1,SH_5178,"2024-09-05 21:37:15",4,Completed,Successful,450,MV_7,TH_2,4,12:30:00,"PVR Cinemas"
BK_48,US_5,SH_7427,"2025-10-10 1:10:12",3,Completed,Successful,600,MV_8,TH_3,3,15:00:00,"Carnival Cinemas"
BK_49,US_4,SH_5098,"2025-09-07 17:01:13",2,Completed,Successful,800,MV_9,TH_4,2,18:30:00,Cinepolis
BK_50,US_1,SH_4176,"2024-08-12 1:19:12",1,Completed,Successful,500,MV_10,TH_5,1,21:45:00,"Wave Cinemas"
BK_51,US_2,SH_2046,"2025-12-08 5:53:05",4,Completed,Successful,250,MV_1,TH_1,4,09:00:00,"PVR Cinemas"
BK_52,US_2,SH_6551,"2024-11-13 11:21:09",2,Completed,Successful,450,MV_2,TH_2,2,12:30:00,"Carnival Cinemas"
BK_53,US_6,SH_7023,"2025-11-02 19:36:40",3,Completed,Successful,600,MV_3,TH_3,3,15:00:00,Cinepolis
BK_54,US_3,SH_2907,"2024-11-02 0:00:46",2,Completed,Successful,800,MV_4,TH_4,2,18:30:00,"Wave Cinemas"
BK_55,US_2,SH_6123,"2024-02-01 5:02:38",2,Completed,Successful,500,MV_5,TH_5,2,21:45:00,INOX
BK_56,US_5,SH_9298,"2024-04-04 23:07:04",4,Completed,Successful,250,MV_6,TH_1,4,09:00:00,"Miraj Cinemas"
BK_57,US_1,SH_8474,"2025-04-07 19:40:11",2,Completed,Successful,450,MV_7,TH_2,2,12:30:00,"PVR Cinemas"
BK_58,US_1,SH_5375,"2025-03-20 20:25:12",1,Completed,Successful,600,MV_8,TH_3,1,15:00:00,"Carnival Cinemas"
BK_59,US_3,SH_1623,"2025-10-22 2:54:43",3,Completed,Successful,800,MV_9,TH_4,3,18:30:00,Cinepolis
BK_60,US_2,SH_7385,"2025-09-21 14:56:13",2,Completed,Successful,500,MV_10,TH_5,2,21:45:00,"Wave Cinemas"
BK_61,US_2,SH_6127,"2025-12-09 2:26:06",3,Completed,Successful,250,MV_1,TH_1,3,09:00:00,"PVR Cinemas"
BK_62,US_1,SH_1854,"2025-10-28 9:36:28",1,Completed,Successful,450,MV_2,TH_2,1,12:30:00,"Carnival Cinemas"
BK_63,US_3,SH_147,"2025-03-19 11:26:55",1,Completed,Successful,600,MV_3,TH_3,1,15:00:00,Cinepolis
BK_64,US_5,SH_7493,"2025-09-06 15:57:49",3,Completed,Successful,800,MV_4,TH_4,3,18:30:00,"Wave Cinemas"
BK_65,US_5,SH_4445,"2025-09-30 12:00:29",1,Completed,Successful,500,MV_5,TH_5,1,21:45:00,INOX
BK_66,US_1,SH_2843,"2024-04-30 6:21:04",4,Failed,Cancelled,250,MV_6,TH_1,4,09:00:00,"Miraj Cinemas"
BK_67,US_5,SH_1257,"2024-11-09 3:13:56",4,Completed,Successful,450,MV_7,TH_2,4,12:30:00,"PVR Cinemas"
BK_68,US_1,SH_3797,"2024-07-13 5:32:10",2,Completed,Successful,600,MV_8,TH_3,2,15:00:00,"Carnival Cinemas"
BK_69,US_4,SH_7808,"2025-12-09 9:27:31",2,Completed,Successful,800,MV_9,TH_4,2,18:30:00,Cinepolis
BK_70,US_2,SH_8926,"2024-08-10 22:58:18",4,Completed,Successful,500,MV_10,TH_5,4,21:45:00,"Wave Cinemas"
BK_71,US_3,SH_6819,"2025-03-05 18:48:00",3,Completed,Successful,250,MV_1,TH_1,3,09:00:00,"PVR Cinemas"
BK_72,US_4,SH_8444,"2024-02-07 10:35:25",1,Pending,Pending,450,MV_2,TH_2,1,12:30:00,"Carnival Cinemas"
BK_73,US_2,SH_8193,"2025-03-15 21:31:02",1,Completed,Successful,600,MV_3,TH_3,1,15:00:00,Cinepolis
BK_74,US_4,SH_728,"2024-01-13 3:45:45",3,Completed,Successful,800,MV_4,TH_4,3,18:30:00,"Wave Cinemas"
BK_75,US_3,SH_9582,"2024-03-02 19:42:36",1,Failed,Cancelled,500,MV_5,TH_5,1,21:45:00,INOX
BK_76,US_4,SH_6299,"2024-07-23 6:41:04",3,Completed,Successful,250,MV_6,TH_1,3,09:00:00,"Miraj Cinemas"
BK_77,US_1,SH_4267,"2024-05-05 12:19:32",3,Completed,Successful,450,MV_7,TH_2,3,12:30:00,"PVR Cinemas"
BK_78,US_3,SH_5463,"2024-11-12 11:54:19",1,Completed,Successful,600,MV_8,TH_3,1,15:00:00,"Carnival Cinemas"
BK_79,US_2,SH_1482,"2025-11-22 10:49:55",3,Pending,Pending,800,MV_9,TH_4,3,18:30:00,Cinepolis
BK_80,US_1,SH_4706,"2025-10-13 22:52:00",4,Completed,Successful,500,MV_10,TH_5,4,21:45:00,"Wave Cinemas"
BK_81,US_2,SH_9533,"2024-08-24 9:28:32",1,Completed,Successful,250,MV_1,TH_1,1,09:00:00,"PVR Cinemas"
BK_82,US_1,SH_4165,"2025-05-02 13:32:56",4,Completed,Successful,450,MV_2,TH_2,4,12:30:00,"Carnival Cinemas"
BK_83,US_1,SH_5090,"2025-02-08 4:56:55",4,Completed,Successful,600,MV_3,TH_3,4,15:00:00,Cinepolis
BK_84,US_1,SH_1078,"2024-04-17 16:37:21",1,Completed,Successful,800,MV_4,TH_4,1,18:30:00,"Wave Cinemas"
BK_85,US_2,SH_6067,"2025-11-18 9:09:56",1,Completed,Successful,500,MV_5,TH_5,1,21:45:00,INOX
BK_86,US_1,SH_4705,"2025-05-13 4:01:25",3,Completed,Successful,250,MV_6,TH_1,3,09:00:00,"Miraj Cinemas"
BK_87,US_1,SH_10000,"2025-02-06 23:34:24",3,Completed,Successful,450,MV_7,TH_2,3,12:30:00,"PVR Cinemas"
BK_88,US_2,SH_3805,"2024-10-02 16:48:09",1,Completed,Successful,600,MV_8,TH_3,1,15:00:00,"Carnival Cinemas"
BK_89,US_2,SH_1216,"2025-05-07 12:22:54",4,Completed,Successful,800,MV_9,TH_4,4,18:30:00,Cinepolis
BK_90,US_3,SH_2696,"2024-09-25 23:17:39",1,Completed,Successful,500,MV_10,TH_5,1,21:45:00,"Wave Cinemas"
BK_91,US_6,SH_7834,"2025-02-27 4:17:02",3,Completed,Successful,250,MV_1,TH_1,3,09:00:00,"PVR Cinemas"
BK_92,US_4,SH_6205,"2024-04-23 13:21:35",1,Completed,Successful,450,MV_2,TH_2,1,12:30:00,"Carnival Cinemas"
BK_93,US_3,SH_5139,"2025-08-13 20:48:02",2,Completed,Successful,600,MV_3,TH_3,2,15:00:00,Cinepolis
BK_94,US_4,SH_6460,"2025-02-24 22:48:29",3,Failed,Cancelled,800,MV_4,TH_4,3,18:30:00,"Wave Cinemas"
BK_95,US_2,SH_7269,"2025-03-09 12:09:29",4,Pending,Pending,500,MV_5,TH_5,4,21:45:00,INOX
BK_96,US_1,SH_6049,"2024-12-10 22:28:48",3,Completed,Successful,250,MV_6,TH_1,3,09:00:00,"Miraj Cinemas"
BK_97,US_2,SH_1068,"2025-01-17 3:18:34",1,Completed,Successful,450,MV_7,TH_2,1,12:30:00,"PVR Cinemas"
BK_98,US_2,SH_6696,"2025-09-12 6:27:05",3,Completed,Successful,600,MV_8,TH_3,3,15:00:00,"Carnival Cinemas"
BK_99,US_1,SH_1673,"2024-03-21 2:16:05",4,Completed,Successful,800,MV_9,TH_4,4,18:30:00,Cinepolis
BK_100,US_1,SH_3176,"2025-12-20 15:05:03",1,Completed,Successful,500,MV_10,TH_5,1,21:45:00,"Wave Cinemas"
BK_101,US_1,SH_1179,"2024-09-15 21:10:12",1,Completed,Successful,250,MV_1,TH_1,1,09:00:00,"PVR Cinemas"
BK_102,US_2,SH_624,"2025-03-07 0:30:13",4,Completed,Successful,450,MV_2,TH_2,4,12:30:00,"Carnival Cinemas"
BK_103,US_3,SH_3878,"2024-11-01 7:14:55",4,Completed,Successful,600,MV_3,TH_3,4,15:00:00,Cinepolis
BK_104,US_5,SH_7437,"2024-04-10 4:55:15",4,Completed,Successful,800,MV_4,TH_4,4,18:30:00,"Wave Cinemas"
BK_105,US_1,SH_4239,"2025-10-23 0:01:47",1,Completed,Successful,500,MV_5,TH_5,1,21:45:00,INOX
BK_106,US_2,SH_9411,"2024-01-15 14:01:50",3,Completed,Successful,250,MV_6,TH_1,3,09:00:00,"Miraj Cinemas"
BK_107,US_2,SH_9702,"2025-06-17 10:05:09",1,Completed,Successful,450,MV_7,TH_2,1,12:30:00,"PVR Cinemas"
BK_108,US_4,SH_7645,"2024-03-07 13:07:24",4,Completed,Successful,600,MV_8,TH_3,4,15:00:00,"Carnival Cinemas"
BK_109,US_2,SH_9924,"2025-04-01 18:28:30",1,Completed,Successful,800,MV_9,TH_4,1,18:30:00,Cinepolis
BK_110,US_3,SH_7393,"2024-07-26 16:24:21",1,Completed,Successful,500,MV_10,TH_5,1,21:45:00,"Wave Cinemas"
BK_111,US_2,SH_2134,"2025-01-11 5:14:25",2,Completed,Successful,250,MV_1,TH_1,2,09:00:00,"PVR Cinemas"
BK_112,US_3,SH_8348,"2025-05-05 14:38:37",2,Completed,Successful,450,MV_2,TH_2,2,12:30:00,"Carnival Cinemas"
BK_113,US_2,SH_6458,"2025-01-29 1:23:02",1,Failed,Cancelled,600,MV_3,TH_3,1,15:00:00,Cinepolis
BK_114,US_1,SH_4195,"2024-10-30 2:44:04",1,Completed,Successful,800,MV_4,TH_4,1,18:30:00,"Wave Cinemas"
BK_115,US_4,SH_4394,"2025-11-07 12:30:35",1,Completed,Successful,500,MV_5,TH_5,1,21:45:00,INOX
BK_116,US_2,SH_9562,"2025-09-20 4:32:07",4,Failed,Cancelled,250,MV_6,TH_1,4,09:00:00,"Miraj Cinemas"
BK_117,US_4,SH_6773,"2025-10-22 14:22:03",3,Completed,Successful,450,MV_7,TH_2,3,12:30:00,"PVR Cinemas"
BK_118,US_1,SH_9856,"2024-10-07 23:22:48",2,Failed,Cancelled,600,MV_8,TH_3,2,15:00:00,"Carnival Cinemas"
BK_119,US_4,SH_4582,"2025-01-16 4:23:51",3,Completed,Successful,800,MV_9,TH_4,3,18:30:00,Cinepolis
BK_120,US_3,SH_8318,"2025-11-06 7:55:51",4,Completed,Successful,500,MV_10,TH_5,4,21:45:00,"Wave Cinemas"
BK_121,US_2,SH_6828,"2025-04-11 4:15:38",1,Completed,Successful,250,MV_1,TH_1,1,09:00:00,"PVR Cinemas"
BK_122,US_1,SH_7615,"2024-04-23 19:39:42",1,Completed,Successful,450,MV_2,TH_2,1,12:30:00,"Carnival Cinemas"
BK_123,US_4,SH_9326,"2024-06-12 2:45:29",3,Completed,Successful,600,MV_3,TH_3,3,15:00:00,Cinepolis
BK_124,US_2,SH_6174,"2025-07-22 16:51:42",2,Completed,Successful,800,MV_4,TH_4,2,18:30:00,"Wave Cinemas"
BK_125,US_3,SH_205,"2025-11-20 1:03:21",1,Completed,Successful,500,MV_5,TH_5,1,21:45:00,INOX
BK_126,US_4,SH_7072,"2024-11-07 17:50:00",4,Completed,Successful,250,MV_6,TH_1,4,09:00:00,"Miraj Cinemas"
BK_127,US_2,SH_6238,"2024-06-18 19:58:48",1,Completed,Successful,450,MV_7,TH_2,1,12:30:00,"PVR Cinemas"
BK_128,US_3,SH_8445,"2025-10-20 16:53:25",4,Completed,Successful,600,MV_8,TH_3,4,15:00:00,"Carnival Cinemas"
BK_129,US_2,SH_1224,"2025-08-21 18:56:37",3,Completed,Successful,800,MV_9,TH_4,3,18:30:00,Cinepolis
BK_130,US_2,SH_5011,"2024-09-22 5:02:42",1,Completed,Successful,500,MV_10,TH_5,1,21:45:00,"Wave Cinemas"
BK_131,US_5,SH_7290,"2025-10-02 10:49:23",3,Completed,Successful,250,MV_1,TH_1,3,09:00:00,"PVR Cinemas"
BK_132,US_3,SH_4956,"2024-07-07 21:41:40",2,Failed,Cancelled,450,MV_2,TH_2,2,12:30:00,"Carnival Cinemas"
BK_133,US_4,SH_4567,"2025-10-20 2:28:40",4,Completed,Successful,600,MV_3,TH_3,4,15:00:00,Cinepolis
BK_134,US_3,SH_4627,"2025-03-25 10:17:28",3,Completed,Successful,800,MV_4,TH_4,3,18:30:00,"Wave Cinemas"
BK_135,US_1,SH_5840,"2025-05-04 16:29:09",2,Completed,Successful,500,MV_5,TH_5,2,21:45:00,INOX
BK_136,US_1,SH_7975,"2025-08-08 5:45:14",2,Pending,Pending,250,MV_6,TH_1,2,09:00:00,"Miraj Cinemas"
BK_137,US_2,SH_7693,"2024-07-14 0:13:33",4,Completed,Successful,450,MV_7,TH_2,4,12:30:00,"PVR Cinemas"
BK_138,US_4,SH_7273,"2024-12-10 21:40:28",4,Completed,Successful,600,MV_8,TH_3,4,15:00:00,"Carnival Cinemas"
BK_139,US_2,SH_217,"2025-08-11 23:58:41",4,Pending,Pending,800,MV_9,TH_4,4,18:30:00,Cinepolis
BK_140,US_3,SH_9591,"2025-12-18 6:11:53",1,Pending,Pending,500,MV_10,TH_5,1,21:45:00,"Wave Cinemas"
BK_141,US_3,SH_5641,"2025-01-11 16:21:22",2,Failed,Cancelled,250,MV_1,TH_1,2,09:00:00,"PVR Cinemas"
BK_142,US_2,SH_299,"2025-07-19 15:18:06",2,Completed,Successful,450,MV_2,TH_2,2,12:30:00,"Carnival Cinemas"
BK_143,US_2,SH_1211,"2025-02-13 8:59:38",2,Completed,Successful,600,MV_3,TH_3,2,15:00:00,Cinepolis
BK_144,US_1,SH_7181,"2025-05-24 14:43:40",3,Completed,Successful,800,MV_4,TH_4,3,18:30:00,"Wave Cinemas"
BK_145,US_2,SH_6034,"2024-09-07 12:00:42",1,Pending,Pending,500,MV_5,TH_5,1,21:45:00,INOX
BK_146,US_4,SH_6355,"2024-12-09 12:14:22",4,Completed,Successful,250,MV_6,TH_1,4,09:00:00,"Miraj Cinemas"
BK_147,US_2,SH_6955,"2025-08-23 23:53:55",4,Failed,Cancelled,450,MV_7,TH_2,4,12:30:00,"PVR Cinemas"
BK_148,US_3,SH_8323,"2025-03-27 7:54:46",4,Completed,Successful,600,MV_8,TH_3,4,15:00:00,"Carnival Cinemas"
BK_149,US_1,SH_2428,"2024-02-09 14:26:08",4,Completed,Successful,800,MV_9,TH_4,4,18:30:00,Cinepolis
BK_150,US_3,SH_6816,"2025-04-20 4:10:38",1,Pending,Pending,500,MV_10,TH_5,1,21:45:00,"Wave Cinemas"
BK_151,US_3,SH_5840,"2024-04-20 5:20:19",2,Completed,Successful,250,MV_1,TH_1,2,09:00:00,"PVR Cinemas"
BK_152,US_2,SH_2797,"2024-09-04 21:14:46",4,Completed,Successful,450,MV_2,TH_2,4,12:30:00,"Carnival Cinemas"
BK_153,US_3,SH_3200,"2024-10-25 16:43:15",1,Completed,Successful,600,MV_3,TH_3,1,15:00:00,Cinepolis
BK_154,US_2,SH_9796,"2024-04-12 3:15:16",2,Failed,Cancelled,800,MV_4,TH_4,2,18:30:00,"Wave Cinemas"
BK_155,US_2,SH_1239,"2024-08-25 21:20:37",3,Failed,Cancelled,500,MV_5,TH_5,3,21:45:00,INOX
BK_156,US_1,SH_8655,"2025-07-10 23:38:56",2,Completed,Successful,250,MV_6,TH_1,2,09:00:00,"Miraj Cinemas"
BK_157,US_1,SH_6336,"2024-04-07 7:00:21",1,Completed,Successful,450,MV_7,TH_2,1,12:30:00,"PVR Cinemas"
BK_158,US_2,SH_2931,"2024-10-24 21:14:10",4,Failed,Cancelled,600,MV_8,TH_3,4,15:00:00,"Carnival Cinemas"
BK_159,US_2,SH_8330,"2025-10-11 14:05:46",2,Pending,Pending,800,MV_9,TH_4,2,18:30:00,Cinepolis
BK_160,US_7,SH_1054,"2025-10-25 18:47:03",4,Completed,Successful,500,MV_10,TH_5,4,21:45:00,"Wave Cinemas"
BK_161,US_1,SH_6612,"2025-04-01 15:26:33",4,Completed,Successful,250,MV_1,TH_1,4,09:00:00,"PVR Cinemas"
BK_162,US_1,SH_114,"2024-11-04 6:32:43",4,Completed,Successful,450,MV_2,TH_2,4,12:30:00,"Carnival Cinemas"
BK_163,US_1,SH_6801,"2025-02-19 9:02:31",2,Completed,Successful,600,MV_3,TH_3,2,15:00:00,Cinepolis
BK_164,US_2,SH_8814,"2025-02-25 15:18:20",2,Completed,Successful,800,MV_4,TH_4,2,18:30:00,"Wave Cinemas"
BK_165,US_2,SH_8004,"2024-11-26 20:53:01",2,Completed,Successful,500,MV_5,TH_5,2,21:45:00,INOX
BK_166,US_2,SH_9754,"2025-10-29 0:12:58",1,Completed,Successful,250,MV_6,TH_1,1,09:00:00,"Miraj Cinemas"
BK_167,US_3,SH_8849,"2025-10-10 8:00:35",2,Completed,Successful,450,MV_7,TH_2,2,12:30:00,"PVR Cinemas"
BK_168,US_2,SH_538,"2025-05-08 20:41:44",4,Completed,Successful,600,MV_8,TH_3,4,15:00:00,"Carnival Cinemas"
BK_169,US_2,SH_6459,"2024-01-22 0:10:59",2,Completed,Successful,800,MV_9,TH_4,2,18:30:00,Cinepolis
BK_170,US_3,SH_3209,"2024-09-29 13:48:05",3,Completed,Successful,500,MV_10,TH_5,3,21:45:00,"Wave Cinemas"
BK_171,US_4,SH_7831,"2025-07-11 6:16:23",2,Pending,Pending,250,MV_1,TH_1,2,09:00:00,"PVR Cinemas"
BK_172,US_1,SH_5832,"2024-11-08 9:43:36",1,Completed,Successful,450,MV_2,TH_2,1,12:30:00,"Carnival Cinemas"
BK_173,US_2,SH_26,"2024-07-29 6:45:34",1,Failed,Cancelled,600,MV_3,TH_3,1,15:00:00,Cinepolis
BK_174,US_2,SH_412,"2024-08-25 9:27:33",3,Completed,Successful,800,MV_4,TH_4,3,18:30:00,"Wave Cinemas"
BK_175,US_1,SH_6894,"2024-03-08 21:06:54",4,Completed,Successful,500,MV_5,TH_5,4,21:45:00,INOX
BK_176,US_2,SH_5409,"2025-09-05 2:48:18",1,Completed,Successful,250,MV_6,TH_1,1,09:00:00,"Miraj Cinemas"
BK_177,US_4,SH_9855,"2024-05-05 3:12:20",4,Completed,Successful,450,MV_7,TH_2,4,12:30:00,"PVR Cinemas"
BK_178,US_3,SH_7372,"2024-05-08 0:14:58",3,Completed,Successful,600,MV_8,TH_3,3,15:00:00,"Carnival Cinemas"
BK_179,US_3,SH_3158,"2024-02-16 0:28:12",1,Completed,Successful,800,MV_9,TH_4,1,18:30:00,Cinepolis
BK_180,US_4,SH_7420,"2024-05-07 3:09:20",2,Completed,Successful,500,MV_10,TH_5,2,21:45:00,"Wave Cinemas"
BK_181,US_1,SH_6096,"2024-02-06 11:52:43",4,Completed,Successful,250,MV_1,TH_1,4,09:00:00,"PVR Cinemas"
BK_182,US_3,SH_3415,"2024-09-09 17:46:42",2,Completed,Successful,450,MV_2,TH_2,2,12:30:00,"Carnival Cinemas"
BK_183,US_4,SH_4231,"2025-01-15 18:51:21",4,Completed,Successful,600,MV_3,TH_3,4,15:00:00,Cinepolis
BK_184,US_2,SH_7508,"2024-02-16 5:08:49",4,Completed,Successful,800,MV_4,TH_4,4,18:30:00,"Wave Cinemas"
BK_185,US_1,SH_4830,"2025-08-31 17:12:38",1,Completed,Successful,500,MV_5,TH_5,1,21:45:00,INOX
BK_186,US_1,SH_3863,"2025-05-27 2:12:58",1,Completed,Successful,250,MV_6,TH_1,1,09:00:00,"Miraj Cinemas"
BK_187,US_2,SH_3514,"2024-01-15 13:35:01",1,Completed,Successful,450,MV_7,TH_2,1,12:30:00,"PVR Cinemas"
BK_188,US_1,SH_6286,"2024-09-12 17:41:07",2,Completed,Successful,600,MV_8,TH_3,2,15:00:00,"Carnival Cinemas"
BK_189,US_2,SH_7834,"2025-05-27 17:16:58",3,Pending,Pending,800,MV_9,TH_4,3,18:30:00,Cinepolis
BK_190,US_1,SH_9724,"2025-04-21 1:11:34",1,Completed,Successful,500,MV_10,TH_5,1,21:45:00,"Wave Cinemas"
BK_191,US_3,SH_9649,"2025-10-28 0:18:46",3,Failed,Cancelled,250,MV_1,TH_1,3,09:00:00,"PVR Cinemas"
BK_192,US_1,SH_3648,"2025-11-06 1:46:42",3,Completed,Successful,450,MV_2,TH_2,3,12:30:00,"Carnival Cinemas"
BK_193,US_1,SH_5965,"2024-11-09 9:16:01",3,Completed,Successful,600,MV_3,TH_3,3,15:00:00,Cinepolis
BK_194,US_4,SH_9903,"2025-08-17 3:03:57",4,Pending,Pending,800,MV_4,TH_4,4,18:30:00,"Wave Cinemas"
BK_195,US_4,SH_9203,"2025-09-01 20:22:15",4,Completed,Successful,500,MV_5,TH_5,4,21:45:00,INOX
BK_196,US_4,SH_7750,"2025-03-14 16:18:28",1,Pending,Pending,250,MV_6,TH_1,1,09:00:00,"Miraj Cinemas"
BK_197,US_3,SH_9529,"2024-09-30 17:28:52",1,Completed,Successful,450,MV_7,TH_2,1,12:30:00,"PVR Cinemas"
BK_198,US_2,SH_9920,"2025-03-29 6:40:33",2,Failed,Cancelled,600,MV_8,TH_3,2,15:00:00,"Carnival Cinemas"
BK_199,US_2,SH_805,"2024-09-15 12:32:44",3,Completed,Successful,800,MV_9,TH_4,3,18:30:00,Cinepolis
BK_200,US_3,SH_8290,"2024-07-26 4:06:03",1,Completed,Successful,500,MV_10,TH_5,1,21:45:00,"Wave Cinemas"
BK_201,US_1,SH_2701,"2025-12-17 19:57:02",2,Completed,Successful,250,MV_1,TH_1,2,09:00:00,"PVR Cinemas"
